18,62
1,1
0,-1
2,0
0,-2
1,0
0,-1
1,0
3,-3
1,0
4,-4
1,0
-3,3
-1,-1
1,-1
2,0
2,-2
2,0
0,-2
2,0
0,-1
2,0
0,-1
3,0
0,-1
2,0
0,-1
1,0
0,-1
2,0
0,-1
3,0
0,-2
3,0
0,-1
5,0
0,-1
5,0
0,-2
10,0
0,-1
5,0
-8,0
0,1
-1,1
-5,0
-1,-1
-1,0
0,1
-1,1
-4,0
0,-4
-1,0
0,4
0,-3
2,-2
0,-3
1,0
0,-3
1,0
0,-1
1,0
0,-3
1,0
0,-1
1,0
0,-2
2,0
0,-1
2,0
0,-1
1,0
0,-2
2,0
0,-1
1,0
0,-1
2,0
4,-4
1,0
-1,1
3,-3
3,0
0,-1
1,0
0,-1
2,0
0,-2
3,0
0,-1
2,0
0,-1
2,0
2,-2
3,0
0,-1
1,0
-2,0
0,2
-2,0
-1,-1
0,1
-1,1
-2,0
-1,1
-2,0
1,1
0,1
-3,0
-1,1
-1,0
-1,1
-1,0
0,2
-2,0
-1,-1
0,1
-1,1
-1,0
-1,1
-1,0
-1,1
1,1
-1,0
-1,1
-2,0
-1,1
-1,0
0,2
-1,0
-1,1
-1,0
0,1
-1,1
0,1
-1,0
-2,2
0,1
-1,1
0,1
-2,2
0,1
-1,1
0,3
-1,1
0,3
-2,2
-1,0
-1,1
0,1
-3,0
-1,1
-2,0
-2,2
-2,0
-1,1
-2,0
-3,3
0,1
-2,0
-1,1
-1,0
-3,3
-1,0
-2,2
-2,0
-1,1
1,1
-1,0
-1,1
-1,0
-15,15
1,0
0,1
-1,0
0,1
-1,0
0,2
-1,0
0,2
-1,0
0,1
-1,0
0,2
-1,0
0,-1
0,2
-1,0
0,2
-1,0
0,2
0,-2
1,-1
0,-1
2,-2
0,-1
2,-2
0,-1
1,-1
0,-1
1,-1
0,-1
2,-2
1,0
6,-6
-1,-1
2,-2
0,1
-1,1
0,1
-4,4
0,1
20,18
2,0
0,-1
1,0
0,-1
-1,1
-1,0
0,1
-1,1
0,1
-2,2
1,0
-1,1
0,1
-1,1
0,1
-1,1
0,3
-2,0
0,3
1,0
0,-2
-2,2
0,3
-1,0
0,-1
0,5
-1,0
0,-1
0,4
-1,0
0,7
-1,0
0,23
1,0
0,-1
0,7
1,0
0,5
1,0
0,-1
0,6
1,0
0,-1
0,4
2,0
0,-1
-1,0
1,1
0,1
1,1
-2,0
0,-1
2,2
0,3
1,0
0,-1
0,3
1,0
0,2
1,0
0,3
1,0
0,-1
0,2
3,3
0,-1
-1,-1
-1,1
0,1
1,0
3,3
0,1
7,7
-1,0
0,1
1,0
0,1
2,0
0,-6
-1,0
0,-12
-1,0
0,-21
1,0
0,-9
1,0
0,-5
1,0
0,-6
2,0
0,-4
1,0
0,-4
1,0
0,-3
1,0
0,-2
1,0
0,-1
1,0
0,-3
1,0
0,-1
2,0
0,-3
1,0
0,-1
1,-1
0,-2
1,-1
0,-2
1,-1
0,-4
1,0
0,-4
1,0
0,-5
0,4
-1,1
0,5
-1,1
0,2
-1,1
0,2
-1,1
0,2
-2,2
-1,0
0,3
-2,2
0,1
-2,2
0,3
-1,1
0,2
-1,1
0,3
-2,0
0,2
1,1
0,1
-1,0
0,1
-1,1
0,3
-1,1
0,4
-1,1
0,10
-1,1
0,22
1,1
0,8
1,1
0,5
1,1
-1,0
0,2
1,0
0,-1
0,2
1,0
0,2
1,0
0,-1
0,2
1,0
0,1
1,0
0,3
2,0
0,1
4,0
0,1
-2,0
0,3
-1,0
0,3
-1,1
0,3
-1,1
0,4
-1,0
0,-1
0,5
-1,0
0,4
-1,0
0,5
-1,0
0,-4
0,7
-1,0
0,-2
0,11
-1,0
0,-1
0,27
1,0
0,-1
0,10
1,0
0,-2
0,8
2,0
0,9
1,0
0,-2
0,4
1,0
0,3
1,0
0,1
2,2
-1,0
0,1
1,0
0,1
2,0
